更新时间,#genre#
2025-04-09 18:25:51,url
📺央视频道,#genre#
CCTV-1,http://58.46.76.102:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
CCTV-1,http://42.48.105.149:9901/tsfile/live/37201_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
CCTV-1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-1,https://piccpndali.v.myalicdn.com/audio/cctv1_2.m3u8$订阅源
CCTV-1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33$订阅源
CCTV-1,http://120.234.5.29:6000/udp/239.20.0.104:2006$订阅源
CCTV-1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV-1,http://nas.suntao.online:35455/gaoma/cctv1.m3u8$订阅源
CCTV-1,http://xiaoya.crccxw.top:35455/gaoma/cctv1.m3u8$订阅源
CCTV-2,http://42.48.105.149:9901/tsfile/live/37202_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
CCTV-2,http://58.46.76.102:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
CCTV-2,http://61.136.172.236:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-2,http://116.128.242.83:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-2,https://piccpndali.v.myalicdn.com/audio/cctv2_2.m3u8$订阅源
CCTV-2,http://120.234.5.29:6000/udp/239.20.0.197:2192$订阅源
CCTV-2,http://58.57.40.22:9901/tsfile/live/1001_1.m3u8$订阅源
CCTV-2,http://xiaoya.crccxw.top:35455/gaoma/cctv2.m3u8$订阅源
CCTV-2,http://nas.suntao.online:35455/gaoma/cctv2.m3u8$订阅源
CCTV-2,http://3501776.xyz:35455/gaoma/cctv2.m3u8$订阅源
CCTV-3,http://42.48.105.149:9901/tsfile/live/37203_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
CCTV-3,http://58.46.76.102:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
CCTV-3,http://61.136.172.236:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-3,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$订阅源-IPv6
CCTV-3,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226021/index.m3u8$订阅源-IPv6
CCTV-3,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000003/index.m3u8?$订阅源-IPv6
CCTV-3,http://218.24.193.146:808/rtp/232.0.0.170:1234$组播源
CCTV-3,https://piccpndali.v.myalicdn.com/audio/cctv3_2.m3u8$订阅源
CCTV-3,http://120.234.5.29:6000/udp/239.20.0.28:3292$订阅源
CCTV-3,http://58.57.40.22:9901/tsfile/live/1002_1.m3u8$订阅源
CCTV-4,http://58.46.76.102:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
CCTV-4,http://42.48.105.149:9901/tsfile/live/37204_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
CCTV-4,http://116.128.242.83:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-4,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000485/index.m3u8?IAS$订阅源-IPv6
CCTV-4,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002173/index.m3u8$订阅源-IPv6
CCTV-4,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000503/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000056$订阅源-IPv6
CCTV-4,http://218.24.193.146:808/rtp/232.0.0.59:1234$组播源
CCTV-4,http://218.24.193.146:808/rtp/232.0.0.53:1234$组播源
CCTV-4,http://218.24.193.146:808/rtp/232.0.0.201:1234$组播源
CCTV-4,https://piccpndali.v.myalicdn.com/audio/cctveurope_2.m3u8$订阅源
